import time: self [us] | cumulative | imported package
import time:       336 |        336 |             anthropic.types.beta.skill_list_response
import time:       266 |        266 |             anthropic.types.beta.vault_create_params
import time:       116 |        116 |             anthropic.types.beta.vault_update_params
import time:       283 |        283 |             anthropic.types.beta.beta_citations_delta
import time:       153 |        153 |             anthropic.types.beta.beta_packages_params
import time:       151 |        151 |             anthropic.types.beta.beta_signature_delta
import time:       111 |        111 |             anthropic.types.beta.tunnel_create_params
import time:       268 |        268 |                 anthropic.types.beta.beta_webhook_agent_created_event_data
import time:       277 |        277 |                 anthropic.types.beta.beta_webhook_agent_deleted_event_data
import time:      1260 |       1260 |                 anthropic.types.beta.beta_webhook_agent_updated_event_data
import time:       388 |        388 |                 anthropic.types.beta.beta_webhook_session_idled_event_data
import time:       329 |        329 |                 anthropic.types.beta.beta_webhook_vault_created_event_data
import time:       307 |        307 |                 anthropic.types.beta.beta_webhook_vault_deleted_event_data
import time:       221 |        221 |                 anthropic.types.beta.beta_webhook_agent_archived_event_data
import time:       233 |        233 |                 anthropic.types.beta.beta_webhook_vault_archived_event_data
import time:       200 |        200 |                 anthropic.types.beta.beta_webhook_session_created_event_data
import time:       174 |        174 |                 anthropic.types.beta.beta_webhook_session_deleted_event_data
import time:       168 |        168 |                 anthropic.types.beta.beta_webhook_session_pending_event_data
import time:       169 |        169 |                 anthropic.types.beta.beta_webhook_session_running_event_data
import time:       171 |        171 |                 anthropic.types.beta.beta_webhook_session_updated_event_data
import time:       168 |        168 |                 anthropic.types.beta.beta_webhook_session_archived_event_data
import time:       169 |        169 |                 anthropic.types.beta.beta_webhook_deployment_paused_event_data
import time:       623 |        623 |                 anthropic.types.beta.beta_webhook_deployment_created_event_data
import time:       173 |        173 |                 anthropic.types.beta.beta_webhook_deployment_deleted_event_data
import time:       167 |        167 |                 anthropic.types.beta.beta_webhook_deployment_updated_event_data
import time:       169 |        169 |                 anthropic.types.beta.beta_webhook_deployment_archived_event_data
import time:       163 |        163 |                 anthropic.types.beta.beta_webhook_deployment_unpaused_event_data
import time:       160 |        160 |                 anthropic.types.beta.beta_webhook_environment_created_event_data
import time:       178 |        178 |                 anthropic.types.beta.beta_webhook_environment_deleted_event_data
import time:       168 |        168 |                 anthropic.types.beta.beta_webhook_environment_updated_event_data
import time:       175 |        175 |                 anthropic.types.beta.beta_webhook_environment_archived_event_data
import time:       161 |        161 |                 anthropic.types.beta.beta_webhook_memory_store_created_event_data
import time:       176 |        176 |                 anthropic.types.beta.beta_webhook_memory_store_deleted_event_data
import time:      5651 |       5651 |                 anthropic.types.beta.beta_webhook_session_status_idled_event_data
import time:       309 |        309 |                 anthropic.types.beta.beta_webhook_session_thread_idled_event_data
import time:       190 |        190 |                 anthropic.types.beta.beta_webhook_deployment_run_failed_event_data
import time:       176 |        176 |                 anthropic.types.beta.beta_webhook_memory_store_archived_event_data
import time:       178 |        178 |                 anthropic.types.beta.beta_webhook_deployment_run_started_event_data
import time:       175 |        175 |                 anthropic.types.beta.beta_webhook_session_thread_created_event_data
import time:       161 |        161 |                 anthropic.types.beta.beta_webhook_session_requires_action_event_data
import time:       171 |        171 |                 anthropic.types.beta.beta_webhook_deployment_run_succeeded_event_data
import time:       181 |        181 |                 anthropic.types.beta.beta_webhook_vault_credential_created_event_data
import time:       201 |        201 |                 anthropic.types.beta.beta_webhook_vault_credential_deleted_event_data
import time:       169 |        169 |                 anthropic.types.beta.beta_webhook_session_status_terminated_event_data
import time:       186 |        186 |                 anthropic.types.beta.beta_webhook_session_thread_terminated_event_data
import time:       185 |        185 |                 anthropic.types.beta.beta_webhook_vault_credential_archived_event_data
import time:       174 |        174 |                 anthropic.types.beta.beta_webhook_session_status_rescheduled_event_data
import time:       181 |        181 |                 anthropic.types.beta.beta_webhook_session_status_run_started_event_data
import time:       182 |        182 |                 anthropic.types.beta.beta_webhook_vault_credential_refresh_failed_event_data
import time:       177 |        177 |                 anthropic.types.beta.beta_webhook_session_outcome_evaluation_ended_event_data
import time:       585 |      16028 |               anthropic.types.beta.beta_webhook_event_data
import time:       190 |      16217 |             anthropic.types.beta.unwrap_webhook_event
import time:       262 |        262 |             anthropic.types.beta.agent_retrieve_params
import time:       231 |        231 |             anthropic.types.beta.beta_container_params
import time:       387 |        387 |             anthropic.types.beta.beta_input_json_delta
import time:       192 |        192 |                 anthropic.types.beta.beta_mcp_tool_config_param
import time:       538 |        538 |                 anthropic.types.beta.beta_mcp_tool_default_config_param
import time:       213 |        942 |               anthropic.types.beta.beta_mcp_toolset_param
import time:       283 |        283 |               anthropic.types.beta.beta_tool_bash_20241022_param
import time:       250 |        250 |               anthropic.types.beta.beta_tool_bash_20250124_param
import time:       134 |        134 |               anthropic.types.beta.beta_memory_tool_20250818_param
import time:       141 |        141 |               anthropic.types.beta.beta_advisor_tool_20260301_param
import time:       211 |        211 |               anthropic.types.beta.beta_web_fetch_tool_20250910_param
import time:       259 |        259 |               anthropic.types.beta.beta_web_fetch_tool_20260209_param
import time:      1253 |       1253 |               anthropic.types.beta.beta_web_fetch_tool_20260309_param
import time:       160 |        160 |               anthropic.types.beta.beta_web_fetch_tool_20260318_param
import time:       223 |        223 |                 anthropic.types.beta.beta_user_location_param
import time:       140 |        362 |               anthropic.types.beta.beta_web_search_tool_20250305_param
import time:       137 |        137 |               anthropic.types.beta.beta_web_search_tool_20260209_param
import time:       151 |        151 |               anthropic.types.beta.beta_web_search_tool_20260318_param
import time:       275 |        275 |               anthropic.types.beta.beta_tool_text_editor_20241022_param
import time:       550 |        550 |               anthropic.types.beta.beta_tool_text_editor_20250124_param
import time:       133 |        133 |               anthropic.types.beta.beta_tool_text_editor_20250429_param
import time:       135 |        135 |               anthropic.types.beta.beta_tool_text_editor_20250728_param
import time:       148 |        148 |               anthropic.types.beta.beta_tool_computer_use_20241022_param
import time:       175 |        175 |               anthropic.types.beta.beta_tool_computer_use_20250124_param
import time:       147 |        147 |               anthropic.types.beta.beta_tool_computer_use_20251124_param
import time:       220 |        220 |               anthropic.types.beta.beta_code_execution_tool_20250522_param
import time:       224 |        224 |               anthropic.types.beta.beta_code_execution_tool_20250825_param
import time:       591 |        591 |               anthropic.types.beta.beta_code_execution_tool_20260120_param
import time:       127 |        127 |               anthropic.types.beta.beta_code_execution_tool_20260521_param
import time:       126 |        126 |               anthropic.types.beta.beta_tool_search_tool_bm25_20251119_param
import time:       126 |        126 |               anthropic.types.beta.beta_tool_search_tool_regex_20251119_param
import time:       302 |       7549 |             anthropic.types.beta.beta_tool_union_param
import time:       540 |        540 |               anthropic.types.beta.parsed_beta_message
import time:       112 |        112 |               anthropic.types.beta.beta_diagnostics_param
import time:        96 |         96 |                 anthropic.types.beta.beta_tool_choice_any_param
import time:        91 |         91 |                 anthropic.types.beta.beta_tool_choice_auto_param
import time:        87 |         87 |                 anthropic.types.beta.beta_tool_choice_none_param
import time:        98 |         98 |                 anthropic.types.beta.beta_tool_choice_tool_param
import time:       110 |        480 |               anthropic.types.beta.beta_tool_choice_param
import time:        80 |         80 |               anthropic.types.beta.beta_thinking_config_param
import time:       221 |        221 |                   anthropic.types.beta.beta_input_tokens_trigger_param
import time:       117 |        337 |                 anthropic.types.beta.beta_compact_20260112_edit_param
import time:        94 |         94 |                   anthropic.types.beta.beta_thinking_turns_param
import time:        90 |         90 |                   anthropic.types.beta.beta_all_thinking_turns_param
import time:       128 |        311 |                 anthropic.types.beta.beta_clear_thinking_20251015_edit_param
import time:        91 |         91 |                   anthropic.types.beta.beta_tool_uses_keep_param
import time:        98 |         98 |                   anthropic.types.beta.beta_tool_uses_trigger_param
import time:       195 |        195 |                   anthropic.types.beta.beta_input_tokens_clear_at_least_param
import time:       138 |        520 |                 anthropic.types.beta.beta_clear_tool_uses_20250919_edit_param
import time:       102 |       1268 |               anthropic.types.beta.beta_context_management_config_param
import time:       176 |        176 |                 anthropic.types.beta.beta_request_mcp_server_tool_configuration_param
import time:       191 |        367 |               anthropic.types.beta.beta_request_mcp_server_url_definition_param
import time:       469 |       3314 |             anthropic.types.beta.message_create_params
import time:       270 |        270 |               anthropic.types.beta.beta_managed_agents_file_resource_params
import time:       157 |        157 |               anthropic.types.beta.beta_managed_agents_agent_with_overrides_params
import time:       207 |        207 |               anthropic.types.beta.beta_managed_agents_memory_store_resource_param
import time:       106 |        106 |                 anthropic.types.beta.beta_managed_agents_branch_checkout_param
import time:        99 |         99 |                 anthropic.types.beta.beta_managed_agents_commit_checkout_param
import time:       527 |        731 |               anthropic.types.beta.beta_managed_agents_github_repository_resource_params
import time:       556 |        556 |                   anthropic.types.beta.sessions.event_list_params
import time:       198 |        198 |                         anthropic.types.beta.sessions.beta_managed_agents_text_block_param
import time:       104 |        104 |                           anthropic.types.beta.sessions.beta_managed_agents_url_image_source_param
import time:       194 |        194 |                           anthropic.types.beta.sessions.beta_managed_agents_file_image_source_param
import time:       703 |        703 |                           anthropic.types.beta.sessions.beta_managed_agents_base64_image_source_param
import time:       266 |       1267 |                         anthropic.types.beta.sessions.beta_managed_agents_image_block_param
import time:        99 |         99 |                           anthropic.types.beta.sessions.beta_managed_agents_url_document_source_param
import time:        96 |         96 |                           anthropic.types.beta.sessions.beta_managed_agents_file_document_source_param
import time:        99 |         99 |                           anthropic.types.beta.sessions.beta_managed_agents_base64_document_source_param
import time:       197 |        197 |                           anthropic.types.beta.sessions.beta_managed_agents_plain_text_document_source_param
import time:       141 |        630 |                         anthropic.types.beta.sessions.beta_managed_agents_document_block_param
import time:       237 |       2331 |                       anthropic.types.beta.sessions.beta_managed_agents_user_message_event_params
import time:        96 |         96 |                         anthropic.types.beta.beta_managed_agents_system_content_block_param
import time:       107 |        203 |                       anthropic.types.beta.sessions.beta_managed_agents_system_message_event_params
import time:       113 |        113 |                       anthropic.types.beta.sessions.beta_managed_agents_user_interrupt_event_params
import time:       189 |        189 |                           anthropic.types.beta.sessions.beta_managed_agents_search_result_content_param
import time:        84 |         84 |                           anthropic.types.beta.sessions.beta_managed_agents_search_result_citations_param
import time:       117 |        389 |                         anthropic.types.beta.sessions.beta_managed_agents_search_result_block_param
import time:       119 |        507 |                       anthropic.types.beta.sessions.beta_managed_agents_user_tool_result_event_params
import time:        89 |         89 |                         anthropic.types.beta.sessions.beta_managed_agents_file_rubric_params
import time:        92 |         92 |                         anthropic.types.beta.sessions.beta_managed_agents_text_rubric_params
import time:       118 |        298 |                       anthropic.types.beta.sessions.beta_managed_agents_user_define_outcome_event_params
import time:       144 |        144 |                       anthropic.types.beta.sessions.beta_managed_agents_user_tool_confirmation_event_params
import time:       121 |        121 |                       anthropic.types.beta.sessions.beta_managed_agents_user_custom_tool_result_event_params
import time:       481 |       4196 |                     anthropic.types.beta.sessions.beta_managed_agents_event_params
import time:       240 |       4435 |                   anthropic.types.beta.sessions.event_send_params
import time:       195 |        195 |                   anthropic.types.beta.sessions.thread_list_params
import time:       160 |        160 |                     anthropic.types.beta.beta_managed_agents_delta_type
import time:       109 |        268 |                   anthropic.types.beta.sessions.event_stream_params
import time:       201 |        201 |                   anthropic.types.beta.sessions.resource_add_params
import time:       209 |        209 |                   anthropic.types.beta.sessions.resource_list_params
import time:       391 |        391 |                   anthropic.types.beta.sessions.resource_update_params
import time:       199 |        199 |                     anthropic.types.beta.sessions.beta_managed_agents_file_resource
import time:       240 |        240 |                     anthropic.types.beta.sessions.beta_managed_agents_memory_store_resource
import time:       247 |        247 |                       anthropic.types.beta.beta_managed_agents_branch_checkout
import time:       253 |        253 |                       anthropic.types.beta.beta_managed_agents_commit_checkout
import time:       248 |        746 |                     anthropic.types.beta.sessions.beta_managed_agents_github_repository_resource
import time:       117 |       1301 |                   anthropic.types.beta.sessions.resource_update_response
import time:       111 |        111 |                   anthropic.types.beta.sessions.resource_retrieve_response
import time:       157 |        157 |                   anthropic.types.beta.sessions.beta_managed_agents_text_block
import time:       150 |        150 |                   anthropic.types.beta.sessions.beta_managed_agents_file_rubric
import time:       190 |        190 |                     anthropic.types.beta.sessions.beta_managed_agents_url_image_source
import time:       155 |        155 |                     anthropic.types.beta.sessions.beta_managed_agents_file_image_source
import time:       160 |        160 |                     anthropic.types.beta.sessions.beta_managed_agents_base64_image_source
import time:       195 |        698 |                   anthropic.types.beta.sessions.beta_managed_agents_image_block
import time:       156 |        156 |                   anthropic.types.beta.sessions.beta_managed_agents_text_rubric
import time:       146 |        146 |                     anthropic.types.beta.sessions.beta_managed_agents_retry_status_retrying
import time:       149 |        149 |                     anthropic.types.beta.sessions.beta_managed_agents_retry_status_terminal
import time:       138 |        138 |                     anthropic.types.beta.sessions.beta_managed_agents_retry_status_exhausted
import time:       216 |        648 |                   anthropic.types.beta.sessions.beta_managed_agents_billing_error
import time:       153 |        153 |                         anthropic.types.beta.sessions.beta_managed_agents_url_document_source
import time:       146 |        146 |                         anthropic.types.beta.sessions.beta_managed_agents_file_document_source
import time:       187 |        187 |                         anthropic.types.beta.sessions.beta_managed_agents_base64_document_source
import time:       155 |        155 |                         anthropic.types.beta.sessions.beta_managed_agents_plain_text_document_source
import time:       201 |        839 |                       anthropic.types.beta.sessions.beta_managed_agents_document_block
import time:       205 |       1044 |                     anthropic.types.beta.sessions.beta_managed_agents_user_message_event
import time:       185 |        185 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_message_event
import time:       188 |        188 |                       anthropic.types.beta.sessions.beta_managed_agents_unknown_error
import time:       184 |        184 |                       anthropic.types.beta.sessions.beta_managed_agents_model_overloaded_error
import time:       188 |        188 |                       anthropic.types.beta.sessions.beta_managed_agents_model_rate_limited_error
import time:       182 |        182 |                       anthropic.types.beta.sessions.beta_managed_agents_model_request_failed_error
import time:       189 |        189 |                       anthropic.types.beta.sessions.beta_managed_agents_mcp_connection_failed_error
import time:       217 |        217 |                       anthropic.types.beta.sessions.beta_managed_agents_mcp_authentication_failed_error
import time:       190 |        190 |                       anthropic.types.beta.sessions.beta_managed_agents_credential_host_unreachable_error
import time:       235 |       1569 |                     anthropic.types.beta.sessions.beta_managed_agents_session_error_event
import time:       167 |        167 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_thinking_event
import time:       224 |        224 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_tool_use_event
import time:       180 |        180 |                     anthropic.types.beta.sessions.beta_managed_agents_user_interrupt_event
import time:       232 |        232 |                       anthropic.types.beta.beta_managed_agents_system_content_block
import time:       274 |        506 |                     anthropic.types.beta.beta_managed_agents_system_message_event
import time:       219 |        219 |                     anthropic.types.beta.sessions.beta_managed_agents_session_deleted_event
import time:       202 |        202 |                           anthropic.types.beta.beta_managed_agents_custom_tool_input_schema
import time:       148 |        350 |                         anthropic.types.beta.beta_managed_agents_custom_tool
import time:       127 |        127 |                             anthropic.types.beta.beta_managed_agents_always_ask_policy
import time:       132 |        132 |                             anthropic.types.beta.beta_managed_agents_always_allow_policy
import time:       179 |        437 |                           anthropic.types.beta.beta_managed_agents_mcp_tool_config
import time:       158 |        158 |                           anthropic.types.beta.beta_managed_agents_mcp_toolset_default_config
import time:       171 |        766 |                         anthropic.types.beta.beta_managed_agents_mcp_toolset
import time:       149 |        149 |                         anthropic.types.beta.beta_managed_agents_custom_skill
import time:        70 |         70 |                           anthropic.types.beta.beta_managed_agents_model
import time:       126 |        126 |                           anthropic.types.beta.beta_managed_agents_effort_low
import time:       128 |        128 |                           anthropic.types.beta.beta_managed_agents_effort_max
import time:       124 |        124 |                           anthropic.types.beta.beta_managed_agents_effort_high
import time:       121 |        121 |                           anthropic.types.beta.beta_managed_agents_effort_xhigh
import time:       152 |        152 |                           anthropic.types.beta.beta_managed_agents_effort_medium
import time:       223 |        940 |                         anthropic.types.beta.beta_managed_agents_model_config
import time:       175 |        175 |                         anthropic.types.beta.beta_managed_agents_anthropic_skill
import time:       193 |        193 |                           anthropic.types.beta.beta_managed_agents_agent_tool_config
import time:       171 |        171 |                           anthropic.types.beta.beta_managed_agents_agent_toolset_default_config
import time:       179 |        541 |                         anthropic.types.beta.beta_managed_agents_agent_toolset20260401
import time:       141 |        141 |                         anthropic.types.beta.beta_managed_agents_mcp_server_url_definition
import time:       259 |        259 |                           anthropic.types.beta.beta_managed_agents_session_thread_agent
import time:       146 |        404 |                         anthropic.types.beta.beta_managed_agents_session_multiagent_coordinator
import time:       824 |       4286 |                       anthropic.types.beta.beta_managed_agents_session_agent
import time:       311 |       4597 |                     anthropic.types.beta.beta_managed_agents_session_updated_event
import time:       241 |        241 |                         anthropic.types.beta.sessions.beta_managed_agents_search_result_content
import time:       680 |        680 |                         anthropic.types.beta.sessions.beta_managed_agents_search_result_citations
import time:       248 |       1168 |                       anthropic.types.beta.sessions.beta_managed_agents_search_result_block
import time:       264 |       1431 |                     anthropic.types.beta.beta_managed_agents_user_tool_result_event
import time:       346 |        346 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_tool_result_event
import time:       292 |        292 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_mcp_tool_use_event
import time:       164 |        164 |                       anthropic.types.beta.sessions.beta_managed_agents_session_end_turn
import time:       160 |        160 |                       anthropic.types.beta.sessions.beta_managed_agents_session_requires_action
import time:       168 |        168 |                       anthropic.types.beta.sessions.beta_managed_agents_session_retries_exhausted
import time:       423 |        914 |                     anthropic.types.beta.sessions.beta_managed_agents_session_status_idle_event
import time:       206 |        206 |                     anthropic.types.beta.sessions.beta_managed_agents_user_define_outcome_event
import time:       178 |        178 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_custom_tool_use_event
import time:       213 |        213 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_mcp_tool_result_event
import time:       148 |        148 |                     anthropic.types.beta.sessions.beta_managed_agents_session_status_running_event
import time:       155 |        155 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_created_event
import time:       162 |        162 |                       anthropic.types.beta.sessions.beta_managed_agents_span_model_usage
import time:       277 |        439 |                     anthropic.types.beta.sessions.beta_managed_agents_span_model_request_end_event
import time:       222 |        222 |                     anthropic.types.beta.sessions.beta_managed_agents_user_tool_confirmation_event
import time:       247 |        247 |                     anthropic.types.beta.sessions.beta_managed_agents_user_custom_tool_result_event
import time:       163 |        163 |                     anthropic.types.beta.sessions.beta_managed_agents_span_model_request_start_event
import time:       212 |        212 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_thread_message_sent_event
import time:       153 |        153 |                     anthropic.types.beta.sessions.beta_managed_agents_session_status_terminated_event
import time:       148 |        148 |                     anthropic.types.beta.sessions.beta_managed_agents_session_status_rescheduled_event
import time:       179 |        179 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_status_idle_event
import time:       184 |        184 |                     anthropic.types.beta.sessions.beta_managed_agents_span_outcome_evaluation_end_event
import time:       190 |        190 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_thread_message_received_event
import time:       156 |        156 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_status_running_event
import time:       186 |        186 |                     anthropic.types.beta.sessions.beta_managed_agents_span_outcome_evaluation_start_event
import time:       143 |        143 |                     anthropic.types.beta.sessions.beta_managed_agents_agent_thread_context_compacted_event
import time:       151 |        151 |                     anthropic.types.beta.sessions.beta_managed_agents_span_outcome_evaluation_ongoing_event
import time:       157 |        157 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_status_terminated_event
import time:       157 |        157 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_status_rescheduled_event
import time:       376 |      16019 |                   anthropic.types.beta.sessions.beta_managed_agents_session_event
import time:       152 |        152 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_stats
import time:       153 |        153 |                       anthropic.types.beta.beta_managed_agents_cache_creation_usage
import time:       175 |        327 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_usage
import time:        86 |         86 |                     anthropic.types.beta.sessions.beta_managed_agents_session_thread_status
import time:       255 |        818 |                   anthropic.types.beta.sessions.beta_managed_agents_session_thread
import time:        90 |         90 |                   anthropic.types.beta.sessions.beta_managed_agents_session_resource
import time:       177 |        177 |                   anthropic.types.beta.sessions.beta_managed_agents_send_session_events
import time:       176 |        176 |                       anthropic.types.beta.beta_managed_agents_delta_content
import time:       147 |        323 |                     anthropic.types.beta.beta_managed_agents_delta_event
import time:       130 |        130 |                         anthropic.types.beta.beta_managed_agents_agent_message_preview
import time:       130 |        130 |                         anthropic.types.beta.beta_managed_agents_agent_thinking_preview
import time:        91 |        349 |                       anthropic.types.beta.beta_managed_agents_start_event_preview
import time:       152 |        501 |                     anthropic.types.beta.beta_managed_agents_start_event
import time:       301 |       1123 |                   anthropic.types.beta.sessions.beta_managed_agents_stream_session_events
import time:       150 |        150 |                   anthropic.types.beta.sessions.beta_managed_agents_delete_session_resource
import time:       259 |        259 |                   anthropic.types.beta.sessions.beta_managed_agents_stream_session_thread_events
import time:       405 |      28507 |                 anthropic.types.beta.sessions
import time:         9 |      28515 |               anthropic.types.beta.sessions.beta_managed_agents_user_message_event_params
import time:       281 |      30158 |             anthropic.types.beta.session_create_params
import time:        97 |         97 |               anthropic.types.beta.beta_managed_agents_session_agent_update_param
import time:       116 |        213 |             anthropic.types.beta.session_update_params
import time:       242 |        242 |             anthropic.types.beta.skill_create_response
import time:       238 |        238 |             anthropic.types.beta.skill_delete_response
import time:       146 |        146 |               anthropic.types.beta.beta_managed_agents_deployment_status
import time:       198 |        344 |             anthropic.types.beta.deployment_list_params
import time:       182 |        182 |             anthropic.types.beta.environment_list_params
import time:       170 |        170 |             anthropic.types.beta.skill_retrieve_response
import time:       182 |        182 |               anthropic.types.beta.beta_limited_network_params
import time:       196 |        196 |               anthropic.types.beta.beta_unrestricted_network_param
import time:       242 |        619 |             anthropic.types.beta.beta_cloud_config_params
import time:       293 |        293 |             anthropic.types.beta.beta_message_delta_usage
import time:       160 |        160 |               anthropic.types.beta.beta_managed_agents_schedule_params
import time:       159 |        159 |               anthropic.types.beta.beta_managed_agents_deployment_initial_event_params
import time:       235 |        552 |             anthropic.types.beta.deployment_create_params
import time:       210 |        210 |             anthropic.types.beta.deployment_update_params
import time:       201 |        201 |             anthropic.types.beta.memory_store_list_params
import time:       104 |        104 |             anthropic.types.beta.user_profile_list_params
import time:       250 |        250 |                 anthropic.types.beta.beta_managed_agents_agent_reference
import time:       240 |        489 |               anthropic.types.beta.beta_managed_agents_multiagent
import time:       402 |        891 |             anthropic.types.beta.beta_managed_agents_agent
import time:       320 |        320 |             anthropic.types.beta.beta_managed_agents_vault
import time:       226 |        226 |               anthropic.types.beta.beta_count_tokens_context_management_response
import time:       233 |        458 |             anthropic.types.beta.beta_message_tokens_count
import time:       235 |        235 |               anthropic.types.beta.beta_self_hosted_config_params
import time:       239 |        474 |             anthropic.types.beta.environment_create_params
import time:       226 |        226 |             anthropic.types.beta.environment_update_params
import time:       438 |        438 |               anthropic.types.beta.beta_managed_agents_trigger_type
import time:       262 |        700 |             anthropic.types.beta.deployment_run_list_params
import time:       188 |        188 |             anthropic.types.beta.memory_store_create_params
import time:       197 |        197 |             anthropic.types.beta.memory_store_update_params
import time:       101 |        101 |             anthropic.types.beta.tunnel_rotate_token_params
import time:       132 |        132 |             anthropic.types.beta.user_profile_create_params
import time:       131 |        131 |             anthropic.types.beta.user_profile_update_params
import time:       153 |        153 |             anthropic.types.beta.beta_base64_pdf_block_param
import time:       244 |        244 |               anthropic.types.beta.beta_managed_agents_session_stats
import time:       607 |        607 |               anthropic.types.beta.beta_managed_agents_session_usage
import time:       199 |        199 |               anthropic.types.beta.beta_managed_agents_outcome_evaluation_resource
import time:       376 |       1424 |             anthropic.types.beta.beta_managed_agents_session
import time:       247 |        247 |             anthropic.types.beta.beta_raw_message_stop_event
import time:       329 |        329 |             anthropic.types.beta.message_count_tokens_params
import time:       240 |        240 |             anthropic.types.beta.beta_managed_agents_schedule
import time:       247 |        247 |               anthropic.types.beta.beta_compaction_content_block_delta
import time:       189 |        435 |             anthropic.types.beta.beta_raw_content_block_delta
import time:       373 |        373 |             anthropic.types.beta.beta_raw_message_delta_event
import time:       296 |        296 |             anthropic.types.beta.beta_raw_message_start_event
import time:       159 |        159 |               anthropic.types.beta.beta_raw_content_block_stop_event
import time:       163 |        163 |               anthropic.types.beta.beta_raw_content_block_delta_event
import time:       222 |        222 |               anthropic.types.beta.beta_raw_content_block_start_event
import time:       552 |       1094 |             anthropic.types.beta.beta_raw_message_stream_event
import time:       151 |        151 |                 anthropic.types.beta.beta_managed_agents_file_resource_config
import time:       161 |        161 |                 anthropic.types.beta.beta_managed_agents_memory_store_resource_config
import time:       214 |        214 |                 anthropic.types.beta.beta_managed_agents_github_repository_resource_config
import time:       104 |        627 |               anthropic.types.beta.beta_managed_agents_session_resource_config
import time:       758 |        758 |                 anthropic.types.beta.beta_managed_agents_deployment_user_message_event
import time:       180 |        180 |                 anthropic.types.beta.beta_managed_agents_deployment_system_message_event
import time:       198 |        198 |                 anthropic.types.beta.beta_managed_agents_deployment_user_define_outcome_event
import time:       184 |       1319 |               anthropic.types.beta.beta_managed_agents_deployment_initial_event
import time:       141 |        141 |                     anthropic.types.beta.beta_managed_agents_unknown_deployment_paused_reason_error
import time:       135 |        135 |                     anthropic.types.beta.beta_managed_agents_agent_archived_deployment_paused_reason_error
import time:       123 |        123 |                     anthropic.types.beta.beta_managed_agents_file_not_found_deployment_paused_reason_error
import time:       123 |        123 |                     anthropic.types.beta.beta_managed_agents_vault_archived_deployment_paused_reason_error
import time:       121 |        121 |                     anthropic.types.beta.beta_managed_agents_skill_not_found_deployment_paused_reason_error
import time:       123 |        123 |                     anthropic.types.beta.beta_managed_agents_vault_not_found_deployment_paused_reason_error
import time:       145 |        145 |                     anthropic.types.beta.beta_managed_agents_mcp_egress_blocked_deployment_paused_reason_error
import time:       179 |        179 |                     anthropic.types.beta.beta_managed_agents_workspace_archived_deployment_paused_reason_error
import time:       138 |        138 |                     anthropic.types.beta.beta_managed_agents_environment_archived_deployment_paused_reason_error
import time:       131 |        131 |                     anthropic.types.beta.beta_managed_agents_environment_not_found_deployment_paused_reason_error
import time:       133 |        133 |                     anthropic.types.beta.beta_managed_agents_memory_store_archived_deployment_paused_reason_error
import time:       129 |        129 |                     anthropic.types.beta.beta_managed_agents_organization_disabled_deployment_paused_reason_error
import time:       129 |        129 |                     anthropic.types.beta.beta_managed_agents_session_resource_not_found_deployment_paused_reason_error
import time:       128 |        128 |                     anthropic.types.beta.beta_managed_agents_self_hosted_resources_unsupported_deployment_paused_reason_error
import time:       151 |       2023 |                   anthropic.types.beta.beta_managed_agents_deployment_paused_reason_error
import time:       151 |       2173 |                 anthropic.types.beta.beta_managed_agents_error_deployment_paused_reason
import time:       132 |        132 |                 anthropic.types.beta.beta_managed_agents_manual_deployment_paused_reason
import time:        98 |       2402 |               anthropic.types.beta.beta_managed_agents_deployment_paused_reason
import time:       405 |       4752 |             anthropic.types.beta.beta_managed_agents_deployment
import time:       151 |        151 |             anthropic.types.beta.beta_environment_delete_response
import time:       205 |        205 |             anthropic.types.beta.beta_managed_agents_memory_store
import time:       278 |        278 |             anthropic.types.beta.beta_user_profile_enrollment_url
import time:       138 |        138 |             anthropic.types.beta.beta_managed_agents_deleted_vault
import time:       165 |        165 |               anthropic.types.beta.beta_memory_tool_20250818_view_command
import time:       146 |        146 |               anthropic.types.beta.beta_memory_tool_20250818_create_command
import time:       136 |        136 |               anthropic.types.beta.beta_memory_tool_20250818_delete_command
import time:       164 |        164 |               anthropic.types.beta.beta_memory_tool_20250818_insert_command
import time:       150 |        150 |               anthropic.types.beta.beta_memory_tool_20250818_rename_command
import time:       148 |        148 |               anthropic.types.beta.beta_memory_tool_20250818_str_replace_command
import time:       114 |       1020 |             anthropic.types.beta.beta_memory_tool_20250818_command
import time:       120 |        120 |                 anthropic.types.beta.beta_managed_agents_manual_trigger_context
