import time: self [us] | cumulative | imported package
import time:       427 |        705 |                 dataclasses
import time:       679 |        679 |                 typing_inspection.typing_objects
import time:       540 |       2113 |               typing_inspection.introspection
import time:       217 |        217 |               pydantic._internal
import time:       370 |        370 |                   pydantic._internal._namespace_utils
import time:       376 |        745 |                 pydantic._internal._typing_extra
import time:       167 |        912 |               pydantic._internal._repr
import time:       285 |       3525 |             pydantic.errors
import time:       302 |      11007 |           pydantic
import time:      2945 |       2945 |             annotated_types
import time:       569 |        569 |               fractions
import time:       399 |        399 |                   sysconfig
import time:       452 |        452 |                   _sysconfigdata__darwin_darwin
import time:       418 |        418 |                   _osx_support
import time:       864 |       2132 |                 zoneinfo._tzpath
import time:       211 |        211 |                 zoneinfo._common
import time:       315 |        315 |                 _zoneinfo
import time:       351 |       3008 |               zoneinfo
import time:       332 |        332 |               pydantic._internal._import_utils
import time:       312 |       4219 |             pydantic._internal._validators
import time:       221 |        221 |                 _uuid
import time:       350 |        571 |               uuid
import time:       195 |        195 |                   pydantic._internal._internal_dataclass
import time:       590 |        785 |                 pydantic.aliases
import time:       150 |        150 |                   pydantic._internal._core_utils
import time:       299 |        299 |                   pydantic._internal._forward_ref
import time:       456 |        456 |                   pydantic._internal._utils
import time:       430 |       1333 |                 pydantic._internal._generics
import time:       475 |        475 |                   pydantic.config
import time:       337 |        811 |                 pydantic._internal._config
import time:       252 |        252 |                 pydantic._internal._docs_extraction
import time:       506 |       3684 |               pydantic._internal._fields
import time:       224 |        224 |               pydantic.annotated_handlers
import time:       223 |        223 |                 pydantic._internal._core_metadata
import time:      1870 |       1870 |                 pydantic._internal._decorators
import time:       263 |        263 |                     pydantic.plugin
import time:       249 |        511 |                   pydantic.plugin._schema_validator
import time:       330 |        841 |                 pydantic._internal._mock_val_ser
import time:       190 |        190 |                 pydantic._internal._schema_generation_shared
import time:      1099 |       4221 |               pydantic.json_schema
import time:      2833 |      11532 |             pydantic.types
import time:      1115 |      19809 |           pydantic.fields
import time:       260 |        260 |               httpx.__version__
import time:       328 |        328 |                       email
import time:       486 |        486 |                         http
import time:       352 |        352 |                             email.errors
import time:       323 |        323 |                                 email.quoprimime
import time:       291 |        291 |                                 email.base64mime
import time:       217 |        217 |                                     quopri
import time:       152 |        368 |                                   email.encoders
import time:       256 |        624 |                                 email.charset
import time:       477 |       1713 |                               email.header
import time:       470 |        470 |                                   calendar
import time:       258 |        728 |                                 email._parseaddr
import time:       434 |       1162 |                               email.utils
import time:       292 |       3166 |                             email._policybase
import time:       462 |       3979 |                           email.feedparser
import time:       416 |       4394 |                         email.parser
import time:       258 |        258 |                           email._encoded_words
import time:       160 |        160 |                           email.iterators
import time:       429 |        846 |                         email.message
import time:       965 |       6690 |                       http.client
import time:       262 |        262 |                         urllib.response
import time:       253 |        515 |                       urllib.error
import time:       407 |        407 |                       _scproxy
import time:      1047 |       8985 |                     urllib.request
import time:       503 |        503 |                     httpx._exceptions
import time:      1385 |       1385 |                       http.cookiejar
import time:        49 |         49 |                             _winapi
import time:        30 |         30 |                             winreg
import time:       462 |        540 |                           mimetypes
import time:       638 |        638 |                           httpx._types
import time:       237 |        237 |                           httpx._utils
import time:       344 |       1758 |                         httpx._multipart
import time:       295 |       2052 |                       httpx._content
import time:        35 |         35 |                         brotli
import time:        27 |         27 |                         brotlicffi
import time:        29 |         29 |                         zstandard
import time:       294 |        383 |                       httpx._decoders
import time:       536 |        536 |                       httpx._status_codes
import time:       303 |        303 |                             unicodedata
import time:       241 |        241 |                             idna.idnadata
import time:       235 |        235 |                             idna.intranges
import time:       938 |       1716 |                           idna.core
import time:       194 |        194 |                           idna.package_data
import time:       243 |       2153 |                         idna
import time:      1373 |       1373 |                         httpx._urlparse
import time:       350 |       3874 |                       httpx._urls
import time:       525 |       8752 |                     httpx._models
import time:       387 |      18625 |                   httpx._auth
import time:       272 |        272 |                   httpx._config
import time:       161 |        161 |                         httpx._transports.base
import time:       298 |        458 |                       httpx._transports.asgi
import time:       336 |        336 |                       httpx._transports.default
import time:       117 |        117 |                       httpx._transports.mock
import time:       225 |        225 |                       httpx._transports.wsgi
import time:       106 |       1241 |                     httpx._transports
import time:         8 |       1248 |                   httpx._transports.base
import time:       561 |      20705 |                 httpx._client
import time:       213 |      20918 |               httpx._api
import time:       551 |        551 |                     gettext
import time:       373 |        373 |                       click._compat
import time:       182 |        182 |                         click.globals
import time:       272 |        272 |                         click.utils
import time:       337 |        790 |                       click.exceptions
import time:       912 |       2074 |                     click.types
import time:       269 |        269 |                     click._utils
import time:       220 |        220 |                       click.parser
import time:       237 |        457 |                     click.formatting
import time:       299 |        299 |                     click.termui
import time:       919 |       4566 |                   click.core
import time:       357 |        357 |                   click.decorators
import time:       311 |       5232 |                 click
import time:        35 |         35 |                   pygments
import time:         7 |         41 |                 pygments.lexers
import time:       214 |       5487 |               httpx._main
import time:       408 |      27071 |             httpx
import time:      1415 |       1415 |                 pydantic.functional_validators
import time:       299 |        299 |                 pydantic._internal._discriminated_union
import time:       389 |        389 |                 pydantic._internal._known_annotated_metadata
import time:       375 |        375 |                 pydantic._internal._schema_gather
import time:       747 |       3223 |               pydantic._internal._generate_schema
import time:       248 |        248 |               pydantic._internal._signature
import time:       397 |       3867 |             pydantic._internal._model_construction
import time:      1594 |      32531 |           anthropic._types
import time:       268 |        268 |             anthropic._utils._path
import time:       192 |        192 |                   anyio._core
import time:       309 |        500 |                 anyio._core._contextmanagers
import time:       343 |        343 |                   anyio._core._exceptions
import time:       233 |        233 |                     sniffio._version
import time:       700 |        700 |                     sniffio._impl
import time:       231 |       1164 |                   sniffio
import time:       250 |       1756 |                 anyio._core._eventloop
import time:       186 |        186 |                   anyio.to_thread
import time:       656 |        656 |                     anyio.abc._eventloop
import time:       194 |        194 |                     anyio.abc._resources
import time:       219 |        219 |                       anyio._core._typedattr
import time:       257 |        257 |                         anyio.abc._tasks
import time:       337 |        594 |                       anyio.abc._streams
import time:       390 |       1201 |                     anyio.abc._sockets
import time:       244 |        244 |                     anyio.abc._subprocesses
import time:       171 |        171 |                     anyio.abc._testing
import time:       482 |        482 |                       anyio.lowlevel
import time:       400 |        400 |                       anyio._core._tasks
import time:       145 |        145 |                       anyio._core._testing
import time:      1258 |       2284 |                     anyio._core._synchronization
import time:       557 |        557 |                     anyio.from_thread
import time:       255 |       5558 |                   anyio.abc
import time:       599 |       6342 |                 anyio._core._fileio
import time:       191 |        191 |                 anyio._core._resources
import time:       154 |        154 |                 anyio._core._signals
import time:       178 |        178 |                     anyio.streams
import time:       497 |        675 |                   anyio.streams.stapled
import time:       572 |        572 |                   anyio.streams.tls
import time:       567 |       1812 |                 anyio._core._sockets
import time:       692 |        692 |                   anyio.streams.memory
import time:       208 |        900 |                 anyio._core._streams
import time:        91 |         91 |                 anyio._core._subprocesses
import time:       314 |        314 |                 anyio._core._tempfile
import time:       325 |      12380 |               anyio
import time:       179 |      12558 |             anthropic._utils._sync
import time:       190 |        190 |             anthropic._utils._proxy
import time:       338 |        338 |             anthropic._utils._utils
import time:       352 |        352 |               anthropic._utils._datetime_parse
import time:       217 |        569 |             anthropic._utils._compat
import time:       258 |        258 |             anthropic._utils._typing
import time:       211 |        211 |             anthropic._utils._streams
import time:       229 |        229 |               anthropic._files
import time:       265 |        493 |             anthropic._utils._transform
import time:        75 |         75 |             anthropic._utils._reflection
import time:       278 |      15234 |           anthropic._utils
import time:       336 |        336 |                   _csv
import time:       308 |        644 |                 csv
import time:       337 |        337 |                     importlib._abc
import time:        50 |        387 |                   importlib.util
import time:       662 |       1048 |                 zipfile
import time:       169 |        169 |                     importlib.metadata._functools
import time:       215 |        384 |                   importlib.metadata._text
import time:       436 |        820 |                 importlib.metadata._adapters
import time:       249 |        249 |                 importlib.metadata._meta
import time:       262 |        262 |                 importlib.metadata._collections
import time:        70 |         70 |                 importlib.metadata._itertools
import time:       290 |        290 |                         importlib.resources.abc
import time:       244 |        244 |                         importlib.resources._adapters
import time:       231 |        764 |                       importlib.resources._common
import time:       184 |        184 |                       importlib.resources._legacy
import time:        84 |       1032 |                     importlib.resources
import time:         6 |       1037 |                   importlib.resources.abc
import time:       378 |       1415 |                 importlib.abc
import time:       874 |       5377 |               importlib.metadata
import time:       206 |       5583 |             pydantic.plugin._loader
import time:      3734 |       9317 |           anthropic._compat
import time:       170 |        170 |           anthropic._constants
import time:       242 |        242 |           pydantic._internal._serializers
import time:      3088 |      91394 |         anthropic._models
import time:       373 |        373 |         anthropic.types.cache_creation
import time:       251 |        251 |         anthropic.types.server_tool_usage
import time:       237 |        237 |         anthropic.types.output_tokens_details
import time:       521 |      92774 |       anthropic.types.usage
import time:       208 |        208 |         anthropic.types.shared.error_type
import time:       178 |        178 |           anthropic.types.shared.billing_error
import time:       162 |        162 |           anthropic.types.shared.not_found_error
import time:       155 |        155 |           anthropic.types.shared.api_error_object
import time:       130 |        130 |           anthropic.types.shared.overloaded_error
import time:       523 |        523 |           anthropic.types.shared.permission_error
import time:       165 |        165 |           anthropic.types.shared.rate_limit_error
import time:       159 |        159 |           anthropic.types.shared.authentication_error
import time:       146 |        146 |           anthropic.types.shared.gateway_timeout_error
import time:       137 |        137 |           anthropic.types.shared.invalid_request_error
import time:       132 |       1883 |         anthropic.types.shared.error_object
import time:       170 |        170 |         anthropic.types.shared.error_response
import time:       255 |       2515 |       anthropic.types.shared
import time:       309 |        309 |         anthropic.types.container
import time:       244 |        244 |         anthropic.types.stop_reason
import time:       422 |        422 |               anthropic.types.citation_char_location
import time:       297 |        297 |               anthropic.types.citation_page_location
import time:       377 |        377 |               anthropic.types.citation_content_block_location
import time:       316 |        316 |               anthropic.types.citations_search_result_location
import time:       169 |        169 |               anthropic.types.citations_web_search_result_location
import time:       234 |       1811 |             anthropic.types.text_citation
